,R,G,B
train_0,91.78738403320312,109.34700012207031,103.60914611816406
train_1,65.63986206054688,76.49737548828125,64.30158996582031
train_2,43.16447448730469,58.03938293457031,56.86199951171875
train_3,51.41131591796875,65.25376892089844,53.97296142578125
train_4,57.342376708984375,45.25340270996094,19.525054931640625
train_5,151.69985961914062,156.72348022460938,147.83291625976562
train_6,100.52986145019531,112.08566284179688,102.27005004882812
train_7,110.97471618652344,115.6785888671875,99.57574462890625
train_8,41.568572998046875,54.23558044433594,33.29588317871094
train_9,148.4497528076172,144.64022827148438,127.88919067382812
train_10,55.32286071777344,57.27171325683594,50.721038818359375
train_11,47.91007995605469,64.54093933105469,66.92695617675781
train_12,158.72323608398438,155.11827087402344,146.8628692626953
train_13,37.307708740234375,53.4134521484375,38.89244079589844
train_14,125.82987976074219,135.57322692871094,120.19541931152344
train_15,31.205841064453125,45.46903991699219,42.4971923828125
train_16,38.675323486328125,53.523162841796875,36.511260986328125
train_17,122.69416809082031,138.40818786621094,134.67906188964844
train_18,58.20021057128906,71.96855163574219,67.87225341796875
train_19,120.62213134765625,110.49258422851562,99.19830322265625
train_20,100.82734680175781,107.18487548828125,103.40888977050781
train_21,39.1617431640625,53.332672119140625,48.260467529296875
train_22,60.68389892578125,63.69012451171875,56.80931091308594
train_23,133.7733154296875,133.7031707763672,115.06031799316406
train_24,168.63291931152344,138.64585876464844,116.35411071777344
train_25,37.52984619140625,51.69926452636719,42.61460876464844
train_26,139.43492126464844,141.52593994140625,127.24598693847656
train_27,130.28785705566406,129.02906799316406,112.96492004394531
train_28,62.10893249511719,66.91191101074219,59.06982421875
train_29,80.226318359375,92.55766296386719,84.81639099121094
train_30,130.81619262695312,120.18472290039062,94.50181579589844
train_31,29.67095947265625,42.601776123046875,30.298782348632812
train_32,102.30961608886719,95.73838806152344,76.65231323242188
train_33,68.59832763671875,74.9251708984375,54.16523742675781
train_34,39.10406494140625,54.495269775390625,48.27088928222656
train_35,40.16766357421875,53.1409912109375,42.4476318359375
train_36,128.76519775390625,122.59803771972656,103.57687377929688
train_37,103.011474609375,111.45072937011719,102.11672973632812
train_38,36.26475524902344,48.276397705078125,38.24507141113281
train_39,39.26658630371094,54.668731689453125,48.2154541015625
train_40,69.15538024902344,79.79310607910156,72.1588134765625
train_41,85.73419189453125,87.51358032226562,74.74885559082031
train_42,53.08612060546875,62.513336181640625,49.25238037109375
train_43,114.48213195800781,109.012939453125,96.31730651855469
train_44,60.925445556640625,75.13545227050781,75.12710571289062
train_45,49.20423889160156,65.50987243652344,50.61016845703125
train_46,97.87879943847656,95.19146728515625,83.30378723144531
train_47,59.64283752441406,63.2469482421875,48.4781494140625
train_48,44.43052673339844,51.72431945800781,46.70863342285156
train_49,38.69636535644531,52.564178466796875,45.2022705078125
train_50,164.17864990234375,173.84397888183594,168.5404052734375
train_51,34.3125,51.92915344238281,47.85807800292969
train_52,66.2821044921875,76.50152587890625,65.98585510253906
train_53,64.15623474121094,76.10873413085938,71.07240295410156
train_54,31.7781982421875,41.52391052246094,40.73057556152344
train_55,77.19612121582031,86.33805847167969,77.31044006347656
train_56,65.60321044921875,68.51551818847656,59.68775939941406
train_57,81.35069274902344,79.1990966796875,57.9884033203125
train_58,81.69149780273438,84.2650146484375,73.91508483886719
train_59,81.13914489746094,88.79766845703125,74.52391052246094
train_60,102.9783935546875,112.99317932128906,104.33511352539062
train_61,34.094390869140625,49.17021179199219,44.07835388183594
train_62,154.84640502929688,143.55685424804688,128.89483642578125
train_63,72.75978088378906,86.79586791992188,76.814453125
train_64,71.66925048828125,84.8145751953125,77.15591430664062
train_65,49.47352600097656,53.63905334472656,45.56813049316406
train_66,136.43597412109375,133.54290771484375,117.45468139648438
train_67,94.80630493164062,94.99752807617188,74.53401184082031
train_68,106.20289611816406,113.07064819335938,94.78276062011719
train_69,38.02557373046875,49.00909423828125,40.629150390625
train_70,38.09344482421875,45.1910400390625,33.56123352050781
train_71,61.72813415527344,62.1854248046875,54.266998291015625
train_72,165.0277099609375,172.5500030517578,166.0135498046875
train_73,31.867828369140625,43.78367614746094,32.095916748046875
train_74,136.5466766357422,136.3424072265625,119.10810852050781
train_75,83.55870056152344,92.63330078125,82.25025939941406
train_76,91.51541137695312,103.56037902832031,94.27265930175781
train_77,180.74365234375,160.8902587890625,141.0244140625
train_78,37.51564025878906,52.625274658203125,46.668792724609375
train_79,61.0902099609375,75.02717590332031,67.848388671875
train_80,125.91921997070312,123.20645141601562,111.17662048339844
train_81,46.2081298828125,51.114715576171875,44.6854248046875
train_82,64.32173156738281,80.81019592285156,65.73333740234375
train_83,61.69970703125,73.79421997070312,68.82176208496094
train_84,64.19369506835938,71.20626831054688,69.12892150878906
train_85,73.60920715332031,84.10308837890625,76.48245239257812
train_86,46.152618408203125,63.010345458984375,54.30955505371094
train_87,122.19091796875,129.19969177246094,116.20878601074219
train_88,47.54698181152344,65.27752685546875,59.96026611328125
train_89,59.36631774902344,77.81201171875,73.25408935546875
train_90,107.51951599121094,117.26029968261719,107.31474304199219
train_91,42.83918762207031,54.762054443359375,50.90596008300781
train_92,99.92431640625,98.07749938964844,79.81816101074219
train_93,38.51008605957031,50.75682067871094,43.72088623046875
train_94,105.86441040039062,101.94013977050781,82.12020874023438
train_95,32.54499816894531,50.320037841796875,43.69059753417969
train_96,61.758026123046875,66.69482421875,44.30717468261719
train_97,137.00608825683594,142.4291534423828,134.61207580566406
train_98,45.03271484375,60.58734130859375,57.40083312988281
train_99,45.59893798828125,58.45054626464844,49.60107421875
train_100,97.83905029296875,106.58964538574219,108.90313720703125
train_101,147.7738037109375,148.75372314453125,135.9639434814453
train_102,46.265716552734375,60.25016784667969,50.63543701171875
train_103,131.35003662109375,119.88250732421875,103.97085571289062
train_104,77.73825073242188,92.44248962402344,87.42448425292969
train_105,38.80097961425781,50.86578369140625,49.540618896484375
train_106,33.68896484375,41.22026062011719,27.4066162109375
train_107,68.95549011230469,77.01486206054688,68.04405212402344
train_108,122.28288269042969,116.22567749023438,104.54177856445312
train_109,42.13050842285156,54.36042785644531,49.92546081542969
train_110,42.96089172363281,56.666259765625,46.51319885253906
train_111,125.14213562011719,132.55152893066406,129.92495727539062
train_112,101.28584289550781,100.92512512207031,84.68580627441406
